Unnamed: 0,Date,User,Tweet,Location,ppt
0,2023-03-27 14:11:19+00:00,alhassen3211,Ganjar Hebat dimata masyarakat Yogyakarta  Bersatu mendukung kebijakan pemerintah untuk memajukan negara ini  https://twitter #GanjarHebat,antapani Bandung,"['ganjar', 'hebat', 'mata', 'masyarakat', 'yogyakarta', 'satu', 'dukung', 'bijak', 'perintah', 'maju', 'negara', 'https', 'twitter', 'ganjarhebat']"
1,2023-03-27 14:03:36+00:00,faizlalala,"pak ganjar kerjabakti mawon pak, israel ben durusi cah cah","Borobudur, Indonesia","['pak', 'ganjar', 'kerjabakti', 'mawon', 'pak', 'israel', 'ben', 'durusi', 'cah', 'cah']"
2,2023-03-27 13:37:27+00:00,Trending_Issue,"Kenapa Ganjar menolak timnas Israel U20? Karena PDIP menolak

Kenapa Ganjar ngga melawan PDIP? Yg akan mencalonkan Ganjar kan PDIP

Gimana dengan pendukung  yg kecewa? Kali ini sikap Ganjar berbeda dengan beberapa pendukungnya, lalu pendukungnya mau gimana? Mau dukung Anies kah?",Jakarta,"['kenapa', 'ganjar', 'tolak', 'timnas', 'israel', 'u20', 'karena', 'pdip', 'tolak', 'kenapa', 'ganjar', 'ngga', 'lawan', 'pdip', 'yg', 'calon', 'ganjar', 'kan', 'pdip', 'gimana', 'dukung', 'yg', 'kecewa', 'kali', 'sikap', 'ganjar', 'beda', 'beberapa', 'dukung', 'lalu', 'dukung', 'mau', 'gimana', 'mau', 'dukung', 'anies', 'kah']"
3,2023-03-27 13:11:04+00:00,ismet1980,Ganjar berhasil melewati Tahun Tahun Sulit di Indonesia  Prestasi  Ganjar diakuin Dunia antara lain Infrastruktur dan Ekonomi #GanjarHebat,Cikutra Bandung,"['ganjar', 'hasil', 'lewat', 'tahun', 'tahun', 'sulit', 'indonesia', 'prestasi', 'ganjar', 'diakuin', 'dunia', 'infrastruktur', 'ekonomi', 'ganjarhebat']"
4,2023-03-27 13:11:04+00:00,alexoder1,"inilah Presidenku yang baik hati dan peduli terhadap rakyat, Kalimantan Tengah for  Ganjar Hebat  Presiden  Ganjar keren selal #GanjarHebat",Kiaracondong Bandung,"['ini', 'presiden', 'baik', 'hati', 'peduli', 'rakyat', 'kalimantan', 'tengah', 'for', 'ganjar', 'hebat', 'presiden', 'ganjar', 'keren', 'selal', 'ganjarhebat']"
5,2023-03-27 12:58:55+00:00,jecidi,"Pak Wayan koster cegah juga turist israel yg berkunjung ke Bali dong, kalo Pak Ganjar nolak mah lagi keselek dia tu",Jakarta,"['pak', 'wayan', 'koster', 'cegah', 'turist', 'israel', 'yg', 'kunjung', 'bal', 'dong', 'kalo', 'pak', 'ganjar', 'nolak', 'mah', 'keselek', 'tu']"
6,2023-03-27 12:41:14+00:00,alexxdavi,Kami masyarakat Kalimantan Tengah menyukai sosok pemimpin yang bekerja dengan nyata seperti Presiden  Ganjar  Bersama Presiden #GanjarHebat,Antapani Bandung,"['kami', 'masyarakat', 'kalimantan', 'tengah', 'suka', 'sosok', 'pimpin', 'kerja', 'nyata', 'presiden', 'ganjar', 'sama', 'presiden', 'ganjarhebat']"
7,2023-03-27 12:40:55+00:00,AlexanderVirula,Kami sangat mendukung pemerintahan Pak  Ganjar  Masyarakat sangat mengapresiasi keberhasilan presiden  Ganjar  https://tw #GanjarPresidenku,Bandung Kidul,"['kami', 'sangat', 'dukung', 'perintah', 'pak', 'ganjar', 'masyarakat', 'sangat', 'apresiasi', 'hasil', 'presiden', 'ganjar', 'https', 'tw', 'ganjarpresidenku']"
8,2023-03-27 12:11:22+00:00,alhassen3211,"pak  Ganjar Hebat selalu peduli pada rakyat, main-main pak ke Kalimantan Tengah hehehe  Kebijakan Presiden  Ganjar untuk kebai #GanjarHebat",antapani Bandung,"['pak', 'ganjar', 'hebat', 'selalu', 'peduli', 'rakyat', 'main', 'pak', 'kalimantan', 'tengah', 'hehehe', 'bijak', 'presiden', 'ganjar', 'kebai', 'ganjarhebat']"
9,2023-03-27 11:49:33+00:00,siticeriaselalu,"Bukankah sejak dulu udah berusaha menjatuhkan Ganjar? Gak suka banget kalau Ganjar semakin naik,eh skrg bilang kasihan

Alah asline dirimu seneng wae kok kl ganjar jatuh, sok sok an blg kasihan

Statemen ganjar gak ngaruh buat aku dkk aku, kalau ada yg berbelok rapopo monggo","Jawa Timur, Indonesia","['bukankah', 'sejak', 'dulu', 'udah', 'usaha', 'jatuh', 'ganjar', 'gak', 'suka', 'banget', 'kalau', 'ganjar', 'makin', 'naik', 'eh', 'skrg', 'bilang', 'kasihan', 'alah', 'asline', 'diri', 'neng', 'wae', 'kok', 'kl', 'ganjar', 'jatuh', 'sok', 'sok', 'an', 'blg', 'kasihan', 'statemen', 'ganjar', 'gak', 'ngaruh', 'buat', 'aku', 'dkk', 'aku', 'kalau', 'yg', 'belok', 'rapopo', 'monggo']"
