Unnamed: 0,Date,User,Tweet,Location,ppt
0,2023-03-19 11:27:46+00:00,bocorantogelHK,Survei LSP paparkan tiga faktor dorong elektabilitas Prabowo tertinggi https://t.co/oeRAHxAMVA,Vietnam,"['survei', 'lsp', 'papar', 'tiga', 'faktor', 'dorong', 'elektabilitas', 'prabowo', 'tinggi', 'https', 't', 'co', 'oerahxamva']"
1,2023-03-19 11:27:04+00:00,Disuruh_Iben,"Soal Peluang Duet Prabowo-Ganjar, Hasto: Capres 2024 dari Internal PDIP - detikJatim https://t.co/nAdRn7XxgW #PrabowoUnggul #BangkitBersama",Pulau Impian,"['soal', 'peluang', 'duet', 'prabowo-ganjar', 'hasto', 'capres', '2024', 'internal', 'pdip', '-', 'detikjatim', 'https', 't', 'co', 'nadrn7xxgw', 'prabowounggul', 'bangkitbersama']"
2,2023-03-19 11:26:28+00:00,rebo_kliwon,"Setuju pakai banged. Pak Prabowo berpasangan dengan pak Ganjar, sesuatu banged. Ayo pak Prabowo, gunakan Partai Ger… https://t.co/fLgcxk3nLL",,"['tuju', 'pakai', 'banged', 'pak', 'prabowo', 'pasang', 'pak', 'ganjar', 'banged', 'ayo', 'pak', 'prabowo', 'guna', 'partai', 'ger', 'https', 't', 'co', 'flgcxk3nll']"
3,2023-03-19 11:26:02+00:00,BerdYdh3,RT @ElfizaEnny: Kalau Pak Prabowo berguru sama Pak Jokowi dalam memimpin Negara berarti hasilnya Negara akan seperti sekarang ini lg sement…,,"['rt', 'elfizaenny', 'kalau', 'pak', 'prabowo', 'guru', 'sama', 'pak', 'jokowi', 'pimpin', 'negara', 'arti', 'hasil', 'negara', 'sekarang', 'lg', 'sement']"
4,2023-03-19 11:25:46+00:00,tama_hype,"@tvOneNews Taiklah prabowo...👎👎

Woy @Gerindra lu ingetin tuh si BOWO...
Jangan terlalu berlebihan statement dalam… https://t.co/L7eVMfdaAT",BOEKITTINGGI,"['tvonenews', 'taiklah', 'prabowo', 'woy', 'gerindra', 'lu', 'ingetin', 'tuh', 'si', 'bowo', 'jangan', 'terlalu', 'lebih', 'statement', 'dalam', 'https', 't', 'co', 'l7evmfdaat']"
5,2023-03-19 11:25:34+00:00,kumparan,"Politikus Partai Golkar, Ali Mochtar Ngabalin, tak sepakat bahwa kedekatan Presiden Jokowi dengan Ganjar Pranowo da… https://t.co/I2wTMH54CH",,"['politikus', 'partai', 'golkar', 'ali', 'mochtar', 'ngabalin', 'tak', 'sepakat', 'dekat', 'presiden', 'jokowi', 'ganjar', 'pranowo', 'da', 'https', 't', 'co', 'i2wtmh54ch']"
6,2023-03-19 11:24:59+00:00,RumahKitaJatim,Wacana duet Prabowo Subianto dengan Ganjar Pranowo ataupun Ganjar-Prabowo pada Pemilu Presiden (Pilpres) 2024 mengu… https://t.co/coTRFU9Rws,,"['wacana', 'duet', 'prabowo', 'subianto', 'ganjar', 'pranowo', 'atau', 'ganjar-prabowo', 'milu', 'presiden', 'pilpres', '2024', 'mengu', 'https', 't', 'co', 'cotrfu9rws']"
7,2023-03-19 11:24:52+00:00,zxnm88473822,"Rencananya kita akan ambil beberapa pesawat dari luar negeri yang masih muda,” pungkas Prabowo.#PrabowoMengudara #IkutPakde Prabowo Subianto",,"['rencana', 'ambil', 'beberapa', 'pesawat', 'luar', 'negeri', 'muda', 'pungkas', 'prabowo', 'prabowomengudara', 'ikutpakde', 'prabowo', 'subianto']"
8,2023-03-19 11:24:51+00:00,zxnm88473822,Kita juga rencananya akan mengakuisisi pesawat-pesawat yang tidak baru tapi masih muda usianya.#PrabowoMengudara #IkutPakde Prabowo Subianto,,"['kita', 'rencana', 'akuisisi', 'pesawat', 'baru', 'muda', 'usia', 'prabowomengudara', 'ikutpakde', 'prabowo', 'subianto']"
9,2023-03-19 11:24:50+00:00,zxnm88473822,"Ia pun berencana mengakuisisi pesawat yang tidak baru, tapi masih layak digunakan.#PrabowoMengudara #IkutPakde Prabowo Subianto",,"['ia', 'rencana', 'akuisisi', 'pesawat', 'baru', 'layak', 'guna', 'prabowomengudara', 'ikutpakde', 'prabowo', 'subianto']"
10,2023-03-19 11:24:49+00:00,zxnm88473822,Prabowo mengatakan pesawat di TNI sekarang sedang dalam tahap modernisasi.#PrabowoMengudara #IkutPakde Prabowo Subianto,,"['prabowo', 'kata', 'pesawat', 'tni', 'sekarang', 'sedang', 'tahap', 'modernisasi', 'prabowomengudara', 'ikutpakde', 'prabowo', 'subianto']"
11,2023-03-19 11:24:48+00:00,zxnm88473822,yang disematkan oleh Kepala Staf Angkatan Udara (Kasau) Marsekal TNI Fadjar Prasetyo dalam upacara militer di Lanud… https://t.co/KFRLYZFUNg,,"['semat', 'kepala', 'staf', 'angkat', 'udara', 'kasau', 'marsekal', 'tni', 'fadjar', 'prasetyo', 'upacara', 'militer', 'lanud', 'https', 't', 'co', 'kfrlyzfung']"
12,2023-03-19 11:24:47+00:00,zxnm88473822,"Hal itu diungkap usai dirinya menerima Penganugerahan Wing Kehormatan Penerbang Kelas I,#PrabowoMengudara #IkutPakde Prabowo Subianto",,"['hal', 'ungkap', 'usai', 'diri', 'terima', 'anugerah', 'wing', 'hormat', 'terbang', 'kelas', 'i', 'prabowomengudara', 'ikutpakde', 'prabowo', 'subianto']"
13,2023-03-19 11:24:46+00:00,zxnm88473822,"kemudian sementara kita masih negosiasi untuk menambah pesawat-pesawat lain,” kata Prabowo.#PrabowoMengudara #IkutPakde Prabowo Subianto",,"['kemudian', 'negosiasi', 'tambah', 'pesawat', 'lain', 'kata', 'prabowo', 'prabowomengudara', 'ikutpakde', 'prabowo', 'subianto']"
14,2023-03-19 11:24:46+00:00,zxnm88473822,"“Ya, itu suatu keharusan. Kita akan menambah pesawat tempur Rafale dari Prancis,#PrabowoMengudara #IkutPakde Prabowo Subianto",,"['ya', 'suatu', 'harus', 'kita', 'tambah', 'pesawat', 'tempur', 'rafale', 'prancis', 'prabowomengudara', 'ikutpakde', 'prabowo', 'subianto']"
15,2023-03-19 11:24:45+00:00,zxnm88473822,Ia menyebut saat ini masih melakukan negosiasi untuk penambahan pesawat-pesawat itu.#PrabowoMengudara #IkutPakde Prabowo Subianto,,"['ia', 'sebut', 'laku', 'negosiasi', 'tambah', 'pesawat', 'itu', 'prabowomengudara', 'ikutpakde', 'prabowo', 'subianto']"
16,2023-03-19 11:24:44+00:00,zxnm88473822,Menteri Pertahanan (Menhan) Prabowo Subianto menyampaikan bahwa pihaknya berencana menambah pesawat tempur ke Indon… https://t.co/WtMnqyIn8b,,"['menteri', 'tahan', 'menhan', 'prabowo', 'subianto', 'sampai', 'pihak', 'rencana', 'tambah', 'pesawat', 'tempur', 'indon', 'https', 't', 'co', 'wtmnqyin8b']"
17,2023-03-19 11:24:43+00:00,zxnm88473822,"Berencana Tambah Pesawat Tempur untuk Indonesia, Prabowo: Suatu Keharusan!PrabowoMengudara #IkutPakde Prabowo Subia… https://t.co/EMaC1rRE2t",,"['rencana', 'tambah', 'pesawat', 'tempur', 'indonesia', 'prabowo', 'suatu', 'harus', 'prabowomengudara', 'ikutpakde', 'prabowo', 'subia', 'https', 't', 'co', 'emac1rre2t']"
18,2023-03-19 11:24:32+00:00,RumahKitaJatim,Wacana duet Prabowo Subianto dan Ganjar Pranowo mencuat usai keduanya semringah foto bareng Presiden Joko Widodo (J… https://t.co/MQOClZjGvY,,"['wacana', 'duet', 'prabowo', 'subianto', 'ganjar', 'pranowo', 'cuat', 'usai', 'dua', 'semringah', 'foto', 'bareng', 'presiden', 'joko', 'widodo', 'j', 'https', 't', 'co', 'mqoclzjgvy']"
19,2023-03-19 11:24:07+00:00,Pradoyo2,"@triwul82 Ini pertanda Anies bakal kalah. Prabowo dua pilpres juga menggunakan cara mirip ini,dan akhirnya kalah oleh jokowi",,"['triwul82', 'ini', 'tanda', 'anies', 'bakal', 'kalah', 'prabowo', 'pilpres', 'guna', 'cara', 'mirip', 'ini', 'dan', 'akhir', 'kalah', 'jokowi']"
20,2023-03-19 11:23:40+00:00,KhoirilAnwar_,"RT @genx36545403: Saya sih berharap pak @prabowo dan ibu tietiek soeharto bisa kembali bersama suatu saat nanti.

Ada cerita menarik di bal…",Khoiril Anwar,"['rt', 'genx36545403', 'saya', 'sih', 'harap', 'pak', 'prabowo', 'ibu', 'tietiek', 'soeharto', 'sama', 'suatu', 'nanti', 'ada', 'cerita', 'tarik', 'bal']"
21,2023-03-19 11:21:36+00:00,AL_GABHIRAENI,@Dahnilanzar @prabowo Ini baru yg calon persiden penganti Pak Jokowi.yg lain boleh mencuri star,Indonesia,"['dahnilanzar', 'prabowo', 'ini', 'baru', 'yg', 'calon', 'persiden', 'anti', 'pak', 'jokowi', 'yg', 'curi', 'star']"
