Unnamed: 0,Date,User,Tweet,Location,ppt,sentiment
1,2023-04-10 00:00:00.000000000,User_0,rt @megatop99: @conannkri @ccicpolri @mohmahfudmd negara demokrasi itu hukumnya hrs tegas dan adil.ibarat kereta api dan relnya.kereta api…,"Surabaya, Indonesia","['rt', 'megatop99', 'conannkri', 'ccicpolri', 'mohmahfudmd', 'negara', 'demokrasi', 'hukum', 'hrs', 'tegas', 'adil', 'ibarat', 'kereta', 'api', 'rel', 'kereta', 'api']",positif
2,2023-04-10 00:01:25.969154228,User_1,"@jokowi harga2 pd naik gaji aparat negara gk naik2,yg enak mah jabatan politik gajinya segudang,mrk gk peduli kenai… https://t.co/e7aq6lv4rh","Bandung, Indonesia","['jokowi', 'harga2', 'pd', 'naik', 'gaji', 'aparat', 'negara', 'gk', 'naik2', 'yg', 'enak', 'mah', 'jabat', 'politik', 'gaji', 'gudang', 'mrk', 'gk', 'peduli', 'kena', 'https', 't', 'co', 'e7aq6lv4rh']",negatif
3,2023-04-10 00:02:51.938308457,User_2,"xx : kalian coba mengusir yang mau membersihkan air di planet kalian, menggagalkannya, lalu menukarnya dengan air l… https://t.co/y2oglawiyp","Jakarta, Indonesia","['xx', 'kalian', 'coba', 'usir', 'mau', 'bersih', 'air', 'planet', 'kalian', 'gagal', 'lalu', 'tukar', 'air', 'l', 'https', 't', 'co', 'y2oglawiyp']",negatif
4,2023-04-10 00:04:17.907462686,User_3,@jokowi haturnuhun bapak presiden @jokowi telah berkenan kunker ke kampung saya,"Bekasi, Indonesia","['jokowi', 'haturnuhun', 'bapak', 'presiden', 'jokowi', 'kenan', 'kunker', 'kampung']",netral
5,2023-04-10 00:05:43.876616915,User_4,@rifanrobani @catatan_ali7 @erickthohir @jokowi bahkan bisa jadi titisannya,"Bekasi, Indonesia","['rifanrobani', 'catat', 'ali7', 'erickthohir', 'jokowi', 'bahkan', 'jadi', 'titis']",netral
6,2023-04-10 00:07:09.845771144,User_5,"rt @_delightbee: @jokowi @pertamina @kemenbumn kapan lagi ya pak, rakyat mu rindu?","Bekasi, Indonesia","['rt', 'delightbee', 'jokowi', 'pertamina', 'kemenbumn', 'kapan', 'pak', 'rakyat', 'mu', 'rindu']",positif
7,2023-04-10 00:08:35.814925373,User_6,"@jokowi @pertamina @kemenbumn kapan lagi ya pak, rakyat mu rindu? https://t.co/hxss8jwrgr","Bekasi, Indonesia","['jokowi', 'pertamina', 'kemenbumn', 'kapan', 'pak', 'rakyat', 'mu', 'rindu', 'https', 't', 'co', 'hxss8jwrgr']",positif
8,2023-04-10 00:10:01.784079601,User_7,"presiden @jokowi memberikan keterangan pers saat kunjungan kerja ke pasar sukamandi kabupaten subang jawa barat, 12… https://t.co/ejvrnf7kux","Bandung, Indonesia","['presiden', 'jokowi', 'beri', 'terang', 'pers', 'kunjung', 'kerja', 'pasar', 'sukamandi', 'kabupaten', 'subang', 'jawa', 'barat', '12', 'https', 't', 'co', 'ejvrnf7kux']",positif
9,2023-04-10 00:11:27.753233830,User_8,"rt @jokowi: saat dunia mengalami kekurangan pangan di mana-mana, kita harus memastikan kondisi ketersediaan pangan indonesia aman.
di bala…","Bekasi, Indonesia","['rt', 'jokowi', 'dunia', 'alami', 'kurang', 'pangan', 'mana', 'pasti', 'kondisi', 'sedia', 'pangan', 'indonesia', 'aman', 'bala']",positif
10,2023-04-10 00:12:53.722388059,User_9,"rt @jokowi: situasi dunia sedang terdisrupsi di bidang pangan dan energi. karena itulah, saya menekankan agar para menteri, utamanya yang m…","Jakarta, Indonesia","['rt', 'jokowi', 'situasi', 'dunia', 'sedang', 'disrupsi', 'bidang', 'pangan', 'energi', 'itu', 'tekan', 'menteri', 'utama', 'm']",positif
