Unnamed: 0,Date,User,Tweet,Location,ppt
0,2023-04-10 09:14:22+00:00,papahfaqih,"Min @KAI121 @EdanSepurID KA Pangandaran sudah aktif lagi belum ya??, kalau belum kapan rencana akan aktif?
Cc : Pak @ridwankamil @PRFMnews","Kota Bandung, Jawa Barat","['min', 'kai121', 'edansepurid', 'ka', 'pangandaran', 'aktif', 'ya', 'kalau', 'kapan', 'rencana', 'aktif', 'cc', 'pak', 'ridwankamil', 'prfmnews']"
1,2023-04-08 02:29:55+00:00,nitafhdyt,"My first experience urus pajak 5thn+mutasi alamat di SAMSAT CIKARANG. KAPOKK. Anjrit dari awal masuk tiap nanya kena omel,salah dikit kena omel. Min dikasih gambaran alurnya kek ditempel. Ini nanya dijelasin irit bgt ngomong. Emg gitu kali ya pak @ridwankamil","Bekasi, Jawa Barat","['my', 'first', 'experience', 'urus', 'pajak', '5thn', 'mutasi', 'alamat', 'samsat', 'cikarang', 'kapokk', 'anjrit', 'awal', 'masuk', 'tiap', 'nanya', 'kena', 'omel', 'salah', 'dikit', 'kena', 'omel', 'min', 'kasih', 'gambar', 'alur', 'kek', 'tempel', 'ini', 'nanya', 'dijelasin', 'irit', 'bgt', 'ngomong', 'emg', 'gitu', 'kali', 'pak', 'ridwankamil']"
2,2023-04-07 06:08:59+00:00,dilanallenproje,"to: @ridwankamil @kangyanamulyana 

sejak pagi,
tampak ada beberapa
mobil mewah plat b xxxx rf.
masuk bandung.

menjadi indikasi,
kota bandung 
menjadi salah satu 
destinasi liburan favorite
warga jakarta.","Bandung, Jawa Barat","['to', 'ridwankamil', 'kangyanamulyana', 'sejak', 'pagi', 'tampak', 'beberapa', 'mobil', 'mewah', 'plat', 'b', 'xxxx', 'rf', 'masuk', 'bandung', 'jadi', 'indikasi', 'kota', 'bandung', 'jadi', 'salah', 'satu', 'destinasi', 'libur', 'favorite', 'warga', 'jakarta']"
3,2023-04-07 04:37:18+00:00,dhndrs26,"Enggak Ngerti lagi sama Negeri Tercinta ini, Masih ada saja Oknum yang Korupsi uang Rakyat.
Menjelang lebaran uang bantuan BLT tidak transparan, Masyarakat awam yang tidak mampu, dibodoh bodohi
Bagaimana negeri ini bisa maju😇
#KPKRI @ridwankamil @jokowi @mas_triadhianto @KPK_RI","Bekasi Timur, Indonesia","['enggak', 'ngerti', 'sama', 'negeri', 'cinta', 'ini', 'masih', 'oknum', 'korupsi', 'uang', 'rakyat', 'jelang', 'lebaran', 'uang', 'bantu', 'blt', 'transparan', 'masyarakat', 'awam', 'mampu', 'bodoh', 'bodoh', 'bagaimana', 'negeri', 'maju', 'kpkri', 'ridwankamil', 'jokowi', 'mas', 'triadhianto', 'kpk', 'ri']"
4,2023-04-06 15:40:39+00:00,RachmatW_RW,"Bandara Kertajati butuh Kereta khusus dr Bandung utk 'menghidupkannya', dan mengurangi beban bandara Soeta. Apalagi kalau ditambah fasilitas city check-in di statsiun KA-nya. @jokowi @KAI121 @KemenPU @sandiuno @erickthohir @ridwankamil @CommuterLine","Depok, Jawa Barat, Indonesia","['bandara', 'kertajati', 'butuh', 'kereta', 'khusus', 'dr', 'bandung', 'utk', 'hidup', 'kurang', 'beban', 'bandara', 'soeta', 'apalagi', 'kalau', 'tambah', 'fasilitas', 'city', 'check-in', 'statsiun', 'ka-nya', 'jokowi', 'kai121', 'kemenpu', 'sandiuno', 'erickthohir', 'ridwankamil', 'commuterline']"
5,2023-04-06 14:22:48+00:00,dumbq_,"tiap balik jam segini, dan lewatin parade truk tambang, jadi pengen banget meluk cium manis bupati @bogorkab sama paduka @ridwankamil #sobattambang #jabarteujuara #perwadukan",Indonesia,"['tiap', 'balik', 'jam', 'gin', 'lewatin', 'parade', 'truk', 'tambang', 'jadi', 'ken', 'banget', 'luk', 'cium', 'manis', 'bupati', 'bogorkab', 'sama', 'paduka', 'ridwankamil', 'sobattambang', 'jabarteujuara', 'waduk']"
6,2023-04-04 03:25:38+00:00,ordinary_egi,"Punten Akang teteh @sapawarga_jabar, saya teh mau bayar pajak motor dari kemaren tapi bermasalah terus, sekarang mau lanjut bayar tapi status  pembayaran masih diproses, tidak bisa dibatalkan tidak bisa lanjut, kumaha ieu teh? Kang @ridwankamil punten bantuannya",Indonesia,"['punten', 'akang', 'teteh', 'sapawarga', 'jabar', 'teh', 'mau', 'bayar', 'pajak', 'motor', 'kemaren', 'masalah', 'terus', 'sekarang', 'mau', 'lanjut', 'bayar', 'status', 'bayar', 'proses', 'batal', 'lanjut', 'maha', 'ieu', 'teh', 'kang', 'ridwankamil', 'punten', 'bantu']"
7,2023-04-04 02:48:07+00:00,myrockeral,"parah bgt respon pengaduan @tirtawening_bdg , udh 4 hari air ga ngalir, percuma ada no wa pengaduan @PRFMnews @infobdg @ridwankamil bulan puasa min @tirtawening_bdg buat jang wudhu kudu meuli aqua","ÜT: -6.9094345,107.6101812","['parah', 'bgt', 'respon', 'adu', 'tirtawening', 'bdg', 'udh', '4', 'hari', 'air', 'ga', 'ngalir', 'percuma', 'no', 'wa', 'adu', 'prfmnews', 'infobdg', 'ridwankamil', 'bulan', 'puasa', 'min', 'tirtawening', 'bdg', 'buat', 'jang', 'wudhu', 'kudu', 'meuli', 'aqua']"
8,2023-04-04 00:12:28+00:00,bimautamajabar,"Hallo SobatBima Jabar 😊

Pengerjaan perbaikan ruas jalan di Jawa Barat terus dipantau langsung oleh Gubernur Jawa Barat @ridwankamil ,lho.

Pada Sabtu, 1 April 2023 Gubernur Jawa Barat didampingi oleh Sekretaris Dinas BMPR Jabar","Jawa Barat, Indonesia","['hallo', 'sobatbima', 'jabar', 'kerja', 'baik', 'ruas', 'jalan', 'jawa', 'barat', 'terus', 'pantau', 'langsung', 'gubernur', 'jawa', 'barat', 'ridwankamil', 'lho', 'pada', 'sabtu', '1', 'april', '2023', 'gubernur', 'jawa', 'barat', 'damping', 'sekretaris', 'dinas', 'bmpr', 'jabar']"
9,2023-04-03 09:33:35+00:00,rvnfree_,"Kenapa Remaja di Bandung lebih tertarik untuk jadi pelaku kriminal? ya karna kurangnya sarana buat mereka. Dibikinin dong Kang Track Balap, Gedung kesenian Musik, Gedung Olahraga ekstrim biar pemuda Kota Bandung kreatif gak primitif. @ridwankamil","Bandung, Indonesia","['kenapa', 'remaja', 'bandung', 'lebih', 'tarik', 'jadi', 'laku', 'kriminal', 'karna', 'kurang', 'sarana', 'buat', 'mereka', 'dibikinin', 'dong', 'kang', 'track', 'balap', 'gedung', 'seni', 'musik', 'gedung', 'olahraga', 'ekstrim', 'biar', 'pemuda', 'kota', 'bandung', 'kreatif', 'gak', 'primitif', 'ridwankamil']"
